order_book_id,date,volume,prev_close,close,open,low,high,total_turnover
000002.XSHG,2014-08-05,17505114000.0,2328.021,2324.433,2329.379,2310.701,2331.705,141321937865.0
000002.XSHG,2014-08-06,17739620500.0,2324.433,2321.806,2316.1020000000008,2296.145,2328.565,140212534404.0
000002.XSHG,2014-08-07,17487846100.0,2321.806,2290.495,2320.968,2288.499,2325.039,137145374590.0
000002.XSHG,2014-08-08,13490015600.0,2290.495,2297.615,2291.609,2283.064,2303.007,109596112534.0
000002.XSHG,2014-08-11,15015715600.0,2297.615,2329.298,2302.87,2301.666,2330.679,125907016269.0
000002.XSHG,2014-08-12,15443294500.0,2329.298,2326.003,2327.239,2313.878,2327.535,132211825851.0
000002.XSHG,2014-08-13,17745049700.0,2326.003,2327.172,2327.5170000000007,2305.738,2335.699,146172102301.0
000002.XSHG,2014-08-14,16966508000.0,2327.172,2309.887,2325.763,2307.708,2335.557,141445475004.0
000002.XSHG,2014-08-15,14964779300.0,2309.887,2331.124,2310.697,2306.4970000000008,2335.494,129228694613.0
000002.XSHG,2014-08-18,16345830900.0,2331.124,2344.407,2334.3720000000008,2332.533,2347.147,141275215669.0
000002.XSHG,2014-08-19,17728540200.0,2344.407,2350.572,2347.429,2332.292,2351.291,155208032936.0
000002.XSHG,2014-08-20,16716983900.0,2350.572,2345.149,2346.722,2338.523,2354.339,139406736682.0
000002.XSHG,2014-08-21,16519555300.0,2345.149,2334.992,2344.472,2315.262,2345.0170000000007,140625761010.0
000002.XSHG,2014-08-22,15969550300.0,2334.992,2345.831,2333.434,2329.542,2348.458,140146582944.0
000002.XSHG,2014-08-25,16171490200.0,2345.831,2333.8,2346.136,2326.192,2346.675,134242430617.0
000002.XSHG,2014-08-26,16298476300.0,2333.8,2310.578,2329.624,2303.765,2337.448,133880233262.0
000002.XSHG,2014-08-27,12050557100.0,2310.578,2313.027,2310.516,2307.338,2320.584,103898634684.0
000002.XSHG,2014-08-28,12384732600.0,2313.027,2298.621,2314.1,2297.659,2323.502,109075183242.0
000002.XSHG,2014-08-29,10486334900.0,2298.621,2320.986,2301.925,2295.93,2322.556,92862448156.0
000002.XSHG,2014-09-01,12869039600.0,2320.986,2340.12,2324.06,2321.459,2340.939,116983872916.0
000002.XSHG,2014-09-02,19166068000.0,2340.12,2372.199,2344.498,2338.933,2373.734,170698128193.0
000002.XSHG,2014-09-03,21190834500.0,2372.199,2395.8920000000007,2374.6620000000007,2374.356,2397.906,187314520547.0
000002.XSHG,2014-09-04,19895355900.0,2395.8920000000007,2415.045,2397.377,2390.272,2415.932,179154855484.0
000002.XSHG,2014-09-05,21256138300.0,2415.045,2435.574,2419.71,2415.648,2436.765,185566350052.0
000002.XSHG,2014-09-09,19645142300.0,2435.574,2435.656,2437.66,2424.494,2441.302,172659916841.0
000002.XSHG,2014-09-10,18929116900.0,2435.656,2427.038,2427.198,2414.544,2430.823,163208134880.0
000002.XSHG,2014-09-11,22146279300.0,2427.038,2420.011,2424.337,2412.63,2453.518,196892425512.0
000002.XSHG,2014-09-12,19291032500.0,2420.011,2441.27,2416.505,2410.666,2441.27,161846023512.0
000002.XSHG,2014-09-15,21441806900.0,2441.27,2448.766,2439.41,2430.3920000000007,2450.136,185058458820.0
000002.XSHG,2014-09-16,30184800900.0,2448.766,2404.18,2450.751,2401.349,2458.041,237234974313.0
000002.XSHG,2014-09-17,21031245300.0,2404.18,2416.011,2406.739,2389.706,2417.246,158854791531.0
000002.XSHG,2014-09-18,18860020500.0,2416.011,2424.436,2411.744,2405.541,2428.594,144277511010.0
000002.XSHG,2014-09-19,17411482300.0,2424.436,2438.641,2421.343,2413.516,2440.87,144081284135.0
000002.XSHG,2014-09-22,17514199500.0,2438.641,2397.161,2432.432,2391.395,2432.432,147512110471.0
000002.XSHG,2014-09-23,15627625100.0,2397.161,2417.993,2396.374,2396.304,2419.893,135119307951.0
000002.XSHG,2014-09-24,22177073600.0,2417.993,2453.42,2410.143,2405.557,2455.714,185313561389.0
000002.XSHG,2014-09-25,22504128900.0,2453.42,2455.007,2463.175,2446.297,2476.042,188969677042.0
000002.XSHG,2014-09-26,17436560200.0,2455.007,2457.736,2448.906,2439.115,2460.26,148025558078.0
000002.XSHG,2014-09-29,19961482200.0,2457.736,2468.17,2464.032,2456.508,2473.814,170884932374.0
000002.XSHG,2014-09-30,19326775200.0,2468.17,2474.589,2471.978,2464.553,2476.318,166619687281.0
000002.XSHG,2014-10-08,20395219500.0,2474.589,2494.495,2479.518,2464.533,2494.495,180121028163.0
000002.XSHG,2014-10-09,23531297900.0,2494.495,2501.476,2495.616,2478.168,2503.51,199980896819.0
000002.XSHG,2014-10-10,22420417200.0,2501.476,2485.988,2492.425,2476.039,2498.263,192007324381.0
000002.XSHG,2014-10-13,20042613900.0,2485.988,2477.08,2477.463,2450.981,2477.957000000001,175176473369.0
000002.XSHG,2014-10-14,19648188900.0,2477.08,2470.235,2473.679,2459.455,2492.278,169978211803.0
000002.XSHG,2014-10-15,20245923600.0,2470.235,2485.092,2468.937,2454.4,2486.292,171593117051.0
000002.XSHG,2014-10-16,24780110500.0,2485.092,2467.115,2471.942,2463.8520000000008,2501.919,203623566409.0
